Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
41,"Sunday, May 12",boxscore,ATL,@,ARI,W,5,3,,21-20,2,3,Fried,Godley,Jackson,3:21,D,"27,460",1.08,+++,
42,"Tuesday, May 14",boxscore,ATL,,STL,L,3,14,,21-21,2,3.5,Flaherty,Foltynewicz,,3:00,N,"23,718",1.13,-,
43,"Wednesday, May 15",boxscore,ATL,,STL,W,4,0,,22-21,2,2.5,Soroka,Wacha,Jackson,2:40,N,"23,367",1.04,+,
44,"Thursday, May 16",boxscore,ATL,,STL,W,10,2,,23-21,2,1.5,Teheran,Wainwright,,3:16,N,"28,783",1.11,++,
45,"Friday, May 17",boxscore,ATL,,MIL,W,12,8,,24-21,2,1.5,Fried,Chacin,Jackson,3:25,N,"36,222",1.19,+++,
46,"Saturday, May 18",boxscore,ATL,,MIL,W-wo,4,3,10,25-21,2,1.5,Webb,Hader,,3:34,N,"39,121",1.22,++++,
47,"Sunday, May 19",boxscore,ATL,,MIL,L,2,3,10,25-22,2,2.5,Hader,Parsons,,2:44,D,"36,548",1.26,-,
48,"Monday, May 20",boxscore,ATL,@,SFG,W,4,1,,26-22,2,2.5,Soroka,Suarez,Newcomb,2:23,N,"29,815",1.21,+,
49,"Tuesday, May 21",boxscore,ATL,@,SFG,L-wo,3,4,,26-23,2,2.5,Gott,Jackson,,3:16,N,"28,030",1.22,-,
50,"Wednesday, May 22",boxscore,ATL,@,SFG,W,9,2,,27-23,2,1.5,Fried,Samardzija,,2:48,N,"31,402",1.18,+,
51,"Thursday, May 23",boxscore,ATL,@,SFG,W,5,4,13,28-23,2,1.5,Jackson,Moronta,,4:21,D,"32,463",1.23,++,
52,"Friday, May 24",boxscore,ATL,@,STL,W,5,2,,29-23,2,1.5,Foltynewicz,Mikolas,,2:44,N,"44,630",1.29,+++,
53,"Saturday, May 25",boxscore,ATL,@,STL,L,3,6,,29-24,2,2.5,Miller,Winkler,Hicks,2:40,N,"45,760",1.31,-,
54,"Sunday, May 26",boxscore,ATL,@,STL,W,4,3,10,30-24,2,1.5,Webb,Webb,Jackson,4:07,N,"45,152",1.27,+,
55,"Tuesday, May 28",boxscore,ATL,,WSN,L,4,5,,30-25,2,2.5,Strasburg,Fried,Doolittle,3:21,N,"27,573",1.36,-,
56,"Wednesday, May 29",boxscore,ATL,,WSN,L,4,14,,30-26,2,3.5,Sanchez,Gausman,McGowin,3:11,N,"37,726",1.31,--,
57,"Friday, May 31",boxscore,ATL,,DET,L,2,8,,30-27,2,3,Turnbull,Foltynewicz,,2:52,N,"35,524",1.23,---,
58,"Saturday, Jun 1",boxscore,ATL,,DET,W,10,5,,31-27,2,2,Soroka,Norris,Jackson,2:51,D,"37,108",1.2,+,
59,"Sunday, Jun 2",boxscore,ATL,,DET,W,7,4,,32-27,2,1,Toussaint,Jimenez,,3:18,D,"28,978",1.25,++,
60,"Tuesday, Jun 4",boxscore,ATL,@,PIT,W,12,5,,33-27,2,0.5,Winkler,Crick,,3:46,N,"13,963",1.35,+++,
61,"Wednesday, Jun 5",boxscore,ATL,@,PIT,L,4,7,,33-28,2,1.5,Musgrove,Gausman,,2:48,N,"13,904",1.33,-,
62,"Thursday, Jun 6",boxscore,ATL,@,PIT,L,1,6,,33-29,2,2,Archer,Foltynewicz,Vazquez,2:58,D,"18,232",1.31,--,
63,"Friday, Jun 7",boxscore,ATL,@,MIA,W,7,1,,34-29,2,2,Soroka,Urena,,2:42,N,"8,589",1.3,+,
64,"Saturday, Jun 8",boxscore,ATL,@,MIA,W,1,0,,35-29,2,2,Teheran,Richards,Jackson,2:57,D,"9,771",1.3,++,
65,"Sunday, Jun 9",boxscore,ATL,@,MIA,W,7,6,12,36-29,2,1,Winkler,Conley,Tomlin,4:26,D,"10,959",1.34,+++,
66,"Monday, Jun 10",boxscore,ATL,,PIT,W,13,7,,37-29,1,Tied,Newcomb,McRae,Webb,3:35,N,"21,822",1.37,++++,
67,"Tuesday, Jun 11",boxscore,ATL,,PIT,W,7,5,8,38-29,1,Tied,Toussaint,Archer,Swarzak,3:15,N,"31,305",1.44,+++++,
68,"Wednesday, Jun 12",boxscore,ATL,,PIT,W-wo,8,7,11,39-29,1,up 1.0,Webb,Feliz,,4:17,N,"24,428",1.44,++++++,
69,"Thursday, Jun 13",boxscore,ATL,,PIT,W,6,5,,40-29,1,up 1.5,Teheran,Musgrove,Jackson,3:30,D,"35,108",1.37,+++++++,
70,"Friday, Jun 14",boxscore,ATL,,PHI,W-wo,9,8,,41-29,1,up 2.5,Blevins,Neris,,3:30,N,"41,975",1.89,++++++++,
71,"Saturday, Jun 15",boxscore,ATL,,PHI,L,5,6,,41-30,1,up 1.5,Ramos,Jackson,Neris,3:55,N,"43,593",1.85,-,
72,"Sunday, Jun 16",boxscore,ATL,,PHI,W,15,1,,42-30,1,up 2.5,Foltynewicz,Velasquez,,3:09,D,"40,855",1.88,+,
73,"Monday, Jun 17",boxscore,ATL,,NYM,W,12,3,,43-30,1,up 3.0,Soroka,Wheeler,,3:05,N,"24,660",1.55,++,
74,"Tuesday, Jun 18",boxscore,ATL,,NYM,L,2,10,,43-31,1,up 2.5,deGrom,Teheran,,3:04,N,"24,791",1.48,-,
75,"Wednesday, Jun 19",boxscore,ATL,,NYM,W,7,2,,44-31,1,up 4.0,Fried,Matz,,3:03,N,"37,104",1.57,+,
76,"Friday, Jun 21",boxscore,ATL,@,WSN,L,3,4,,44-32,1,up 4.5,Strasburg,Keuchel,Suero,3:01,N,"34,212",1.56,-,
77,"Saturday, Jun 22",boxscore,ATL,@,WSN,W,13,9,,45-32,1,up 5.5,Minter,Ross,,3:42,N,"37,492",1.64,+,
78,"Sunday, Jun 23",boxscore,ATL,@,WSN,W,4,3,10,46-32,1,up 6.5,Minter,Rainey,Jackson,3:09,D,"34,256",1.5,++,
79,"Monday, Jun 24",boxscore,ATL,@,CHC,L,3,8,,46-33,1,up 5.5,Lester,Teheran,,3:01,N,"37,603",1.23,-,
80,"Tuesday, Jun 25",boxscore,ATL,@,CHC,W,3,2,,47-33,1,up 5.5,Fried,Montgomery,Jackson,2:59,N,"37,333",1.29,+,
